street,grade,latitude,longitude
Canton Avenue,37,40.4100682,-80.0301101
Dornbush Street,31.98,40.4538142,-79.8781541
Boustead Street,29,40.4049857,-80.0319576
Flowers,28,40.3271269,-79.9898547
East Woodford Avenue,27.6,40.3931867,-79.9845493
Cutler Street,26,40.4659763,-80.0123247
Rialto Street,24,40.4657384,-79.9812466
Tesla,24,40.4173228,-79.9346496
Newitt,23,40.3967613,-79.990135
North Winebiddle,23,40.4668327,-79.9424229
Hampshire Avenue,23,40.4105682,-80.0246427
Capital Avenue,22.35,40.4033492,-80.0175636
Flatbush Avenue,22.33,40.3949386,-80.0184865
Fallowfield Avenue,22,40.4108078,-80.0237371
Potomac Avenue,22,40.402362,-80.0402706
Belasco Avenue,21,40.4116521,-80.0274747
Walbridge Street   ,20,40.4388087,-80.0370939
Dagmar Avenue ,20,40.4118518,-80.0229
Greenleaf Street ,19.6,40.4389842,-80.0273437
Schimmer Street  ,19.6,40.4734569,-80.0300786
Tokay Street ,19.25,40.4532991,-79.878946
Coast Avenue ,17.65,40.4085911,-80.0268727
Cuthbert Street ,16,40.4296886,-80.0089334
South Negley Avenue  ,15.81,40.44779619,-79.92845535
Glenbury Street   ,14.96,40.3855608,-80.0000776
Shaler Street ,14.5,40.4367257,-80.0259156
Brosville Street ,14.35,40.4228807,-79.9882693
Federal Street ,13.7,40.46007465,-80.00853539
Buena Vista ,12.5,40.4584993,-80.0150411
Quarry Street  ,12.5,40.4203936,-79.9850016
Antrim Street  ,12.35,40.4753043,-80.0378627
Eleanor Street   ,12.2,40.4201876,-79.9724102
Baytree Street ,11.12,40.4887975,-80.014422
Yoder Street ,9.52,40.4239699,-79.947757